Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ZuhXJBeYHB8EGroRfzZSV,"Secret","Baby Goat","Young Devyn",2021-06-18,143076,0,false,osorys,2021-06-18T12:55:33Z,"sexy drill,drill de new york","4th & Broadway / Island Records / Victor Victor",0.679,0.47,0,-6.679,0,0.369,0.441,0.0000452,0.0636,0.79,139.035,5
spotify:track:0U2js1x1K9l19auMUeS1hq,"Même rêve","Soldat","Le 3ème Oeil;Bekar",2021-06-18,187800,0,true,osorys,2021-06-20T11:07:00Z,"rap français","AUGURI LABELS",0.796,0.527,1,-9.255,1,0.24,0.0467,0,0.105,0.767,90.001,4
spotify:track:0hWF2IseFNpJaK91mVjbNB,"Anxiolytique","Briques rouges","Bekar",2020-09-25,181986,30,false,osorys,2021-06-22T06:02:40Z,"rap français","Panenka Music",0.714,0.757,0,-7.143,0,0.421,0.151,0,0.185,0.522,92.946,4
spotify:track:2iPhGjuEaU306i80aQioJQ,"Chacun sa chance","Chacun sa chance","NHSR;1minute2rap",2021-02-24,199680,25,true,osorys,2021-06-23T08:22:49Z,"rap français","Juston Records",0.723,0.413,11,-10.976,0,0.0892,0.0817,0,0.0972,0.396,124.965,4
spotify:track:0SEmf7XdvzCmmEjtpZKIKl,"Love - Remastered 2010","Plastic Ono Band","John Lennon",1970-12-11,202146,51,false,osorys,2021-06-24T04:11:01Z,"noel","EMI Catalogue",0.613,0.0609,2,-21.297,1,0.0391,0.887,0.0197,0.0525,0.156,80.988,4
spotify:track:5MfM5DNwnXKuZV8jFL5dPm,"One Day","One Day","Gabryel",2019-09-20,166896,21,true,osorys,2021-06-25T12:37:04Z,"","Gabryel",0.576,0.496,8,-6.742,0,0.109,0.457,0.00000156,0.097,0.33,82.966,4
spotify:track:5Dbta2wS3lQs4CT8f0Oc9t,"Avec toi","Légende","47ter",2021-04-16,183181,44,true,osorys,2021-06-25T12:53:18Z,"rap français,variété française","Label entrecôte",0.771,0.57,1,-7.014,0,0.0367,0.821,0,0.107,0.79,120.013,4
spotify:track:03KisebN9LuPAchPJm32M8,"Feeling You","Feeling You","Harrison Storm",2018-05-25,201195,0,false,osorys,2021-06-29T05:42:34Z,"indie folk","Nettwerk Records",0.644,0.502,1,-9.374,0,0.0302,0.665,0.165,0.124,0.159,103.987,4
spotify:track:32Mh7kOCWmNTZgre0cGvCV,"Hislerim","Hislerim","Serhat Durmus;Zerrin",2018-08-10,214204,3,false,osorys,2021-06-30T18:45:44Z,"","Under exclusive license to Amuseio AB",0.324,0.526,1,-8.543,0,0.099,0.327,0.00206,0.344,0.039,81.027,4
spotify:track:7IOSjoLU41npJlDwmhU4e2,"U Do","U Do","TRFN;Siadou",2019-04-01,195057,23,false,osorys,2021-06-30T21:14:29Z,"slap house,g-house","Scorpio Music",0.593,0.375,9,-8.371,0,0.3,0.276,0.00583,0.0918,0.146,138.568,3
spotify:track:3zw0OC9BZWWj5EAKYVEamz,"SNOW WHITE","SNOW WHITE","2Scratch",2020-11-13,231864,39,true,osorys,2021-06-30T21:17:50Z,"","Purple Cloud",0.834,0.788,5,-4.973,0,0.0802,0.0145,0.0525,0.0812,0.0674,118.022,4
spotify:track:5TjdmkuqqjkyIIVuDqyFPE,"Give a Little (feat. Naila)","Give a Little (feat. Naila)","Ash;Naila",2018-01-30,234838,52,false,osorys,2021-06-30T21:21:25Z,"","Ash",0.664,0.58,3,-7.93,0,0.0338,0.46,0.00405,0.112,0.759,93,4
spotify:track:1n1mBqf22FPTfM8OTD7ToW,"3 to 1","3 to 1","Monoir;Eneli",2020-09-25,219508,35,false,osorys,2021-06-30T21:25:08Z,"","Epic Local",0.899,0.581,11,-5.21,0,0.0509,0.369,0.00527,0.202,0.551,107.985,4
spotify:track:6S7XekjbMtUQxhgySaIK8W,"Reminder","Reminder","2Scratch;Young Jae",2019-04-10,291428,0,true,osorys,2021-06-30T21:29:55Z,"","Tribal Trap",0.615,0.767,3,-6.066,0,0.123,0.243,0.0000405,0.144,0.299,140.138,4
spotify:track:44RCbPLZ4nmznY8Uapo7hA,"Milkshake","Milkshake","TRFN",2021-05-14,160655,37,false,osorys,2021-06-30T21:39:22Z,"slap house,g-house","Lithuania HQ",0.882,0.943,7,-5.289,1,0.0569,0.0417,0.00275,0.0956,0.113,124.107,4
spotify:track:48k7lAQQIre9mbyfTqzClq,"Ballin","Ballin","2Scratch;TAOG",2018-06-21,231504,0,false,osorys,2021-06-30T21:47:07Z,"","Trap Nation",0.726,0.599,5,-8.029,1,0.12,0.0302,0.000606,0.349,0.215,113.007,4
spotify:track:6gxycjJNMgmAyfzUXBN80P,"Goodbye My Lover","Back to Bedlam","James Blunt",2005-08-08,258653,70,false,osorys,2021-07-01T20:59:01Z,"","Custard/Atlantic",0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,4
spotify:track:6bSY42jHs2rQoeAAlqxilu,"Perfect for Me","The New England Sessions","Ron Pope",2010-06-29,215600,39,false,osorys,2021-07-01T21:06:56Z,"","Ron Pope",0.597,0.304,4,-10.483,1,0.0311,0.789,0.0000038,0.178,0.3,136.084,4
spotify:track:2YaGZvBfkQ4jiD5cMLIFQV,"Same Mistake","All the Lost Souls","James Blunt",2007-09-05,298186,65,false,osorys,2021-07-01T21:11:07Z,"","Custard/Atlantic",0.482,0.51,10,-7.666,1,0.026,0.472,0.000452,0.122,0.199,77.809,4
spotify:track:0xQdisF8CHkso4LnJcaIMr,"Nine Million Bicycles","Piece By Piece","Katie Melua",2005-09-23,197160,0,false,osorys,2021-07-01T21:15:52Z,"","BMG Rights Management GmbH",0.558,0.246,0,-15.636,1,0.0319,0.517,0.00857,0.122,0.35,82.143,4
spotify:track:2iuZJviaZVJiBbdfovc1Sa,"Titanium","Youre Amazing Just The Way You Are (Bruno Mars Covers)","Gavin Mikhail",2011-12-14,271504,17,false,osorys,2021-07-01T21:18:46Z,"","Tower Window Records, Inc.",0.388,0.456,7,-5.756,0,0.0342,0.922,0,0.108,0.102,116.093,4
